name,predictor,PredictorName,resolution,units,INHABITunit,description,nameList,scale,source,location
Annual Mean Temperature (Bio1) (degree C),annual mean temperature (BIO1),Annual Mean Temperature (Bio1),800m,°C,degree C,"Annual mean temperature has climate inputs that consist of monthly mean maximum and minimum temperatures, which are averaged across the year to acquire annual mean temperature. The annual mean temperature approximates the total energy inputs for an ecosystem.",bio_01_1981_2010_800m,1,http://www.worldclim.org/bioclim (average of values from 1981-2010),Y:\Climate\PRISM\OSU_Normals_1981_2010_800m\BioClim_1981_2010\bio_01_1981_2010_800m.tif
Mean Diurnal Range (Bio2) (degree C),mean diurnal range (BIO2),Mean Diurnal Range (Bio2),800m,°C,degree C,"Mean diurnal range is the mean of all the averaged, monthly temperature extremes whose inputs are monthly mean maximum and minimum temperatures. It is calculated by finding the difference between the maximum and minimum temperature for each month, and then averaging these values, which can inform the relevance of temperature fluctuation to different species.",bio_02_1981_2010_800m,1,http://www.worldclim.org/bioclim (average of values from 1981-2010),Y:\Climate\PRISM\OSU_Normals_1981_2010_800m\BioClim_1981_2010\bio_02_1981_2010_800m.tif
Isothermality (Bio3) (percent),isothermality (BIO3),Isothermality (Bio3),800m,percent,percent,Isothermality quantifies how much the day-to-night temperatures oscillate relative to the summer-to-winter oscillations. Inputs include monthly mean maximum and monthly mean minimum temperatures.,bio_03_1981_2010_800m,1,http://www.worldclim.org/bioclim (average of values from 1981-2010),Y:\Climate\PRISM\OSU_Normals_1981_2010_800m\BioClim_1981_2010\bio_03_1981_2010_800m.tif
Temperature Seasonality (Std Dev) (Bio4) (stddev * 100),temperature seasonality (std dev) (BIO4),Temperature Seasonality (Std Dev) (Bio4),800m,stddev * 100,stddev * 100,Temperature seasonality is the amount of temperature variation over the given period based on the standard deviation of monthly temperature averages. This is calculated by averaging the minimum temperature and maximum temperature for each month and then calculating the standard deviation of the 12 mean monthly temperature values.,bio_04_1981_2010_800m,1,http://www.worldclim.org/bioclim (average of values from 1981-2010),Y:\Climate\PRISM\OSU_Normals_1981_2010_800m\BioClim_1981_2010\bio_04_1981_2010_800m.tif
Temperature Seasonality (Std Dev) (Bio4A) (stddev * 100),temperature seasonality (std dev) (BIO4A),Temperature Seasonality (Std Dev) (Bio4A),800m,stddev * 100,stddev * 100,Temperature seasonality is the amount of temperature variation over the given period based on the standard deviation of monthly temperature averages. Values are first converted to degrees Kelvin so negative temperature values do not occur and avoids the possibility of having to divde by zero. This is calculated by averaging the minimum temperature and maximum temperature for each month and then calculating the standard deviation of the 12 mean monthly temperature values.,bio_04a_1981_2010_800m,1,http://www.worldclim.org/bioclim (average of values from 1981-2010),Y:\Climate\PRISM\OSU_Normals_1981_2010_800m\BioClim_1981_2010\bio_04a_1981_2010_800m.tif
Maxiumum Temperature Warmest Month (Bio5) (degree C),maxiumum temperature warmest month (BIO5),Maxiumum Temperature Warmest Month (Bio5),800m,°C,degree C,Maximum temperature of warmest month is the monthly mean maximum temperature occurrence over a given period. This can inform whether species distributions are affected by warm anomalies throughout the year.,bio_05_1981_2010_800m,1,http://www.worldclim.org/bioclim (average of values from 1981-2010),Y:\Climate\PRISM\OSU_Normals_1981_2010_800m\BioClim_1981_2010\bio_05_1981_2010_800m.tif
Minimum Temperature Coldest Month (Bio6) (degree C),minimum temperature coldest month (BIO6),Minimum Temperature Coldest Month (Bio6),800m,°C,degree C,Minimum temperature of coldest month is the monthly mean minimum temperature occurrence over a given period. This can inform whether species distributions are affected by cold anomalies throughout the year.,bio_06_1981_2010_800m,1,http://www.worldclim.org/bioclim (average of values from 1981-2010),Y:\Climate\PRISM\OSU_Normals_1981_2010_800m\BioClim_1981_2010\bio_06_1981_2010_800m.tif
Temperature Annual Range (Bio7) (degree C),temperature annual range (BIO7),Temperature Annual Range (Bio7),800m,°C,degree C,Temperature annual range is a measure of temperature variation over a given period calculated by subtracting minimum temperature of coldest month (BIO 6) from maximum temperature of warmest month (BIO5). This can inform whether species distributions are affected by ranges of extreme climatic conditions.,bio_07_1981_2010_800m,1,http://www.worldclim.org/bioclim (average of values from 1981-2010),Y:\Climate\PRISM\OSU_Normals_1981_2010_800m\BioClim_1981_2010\bio_07_1981_2010_800m.tif
Mean Temperature Of Wettest Quarter (Bio8) (degree C),mean temperature of wettest quarter (BIO8),Mean Temperature Of Wettest Quarter (Bio8),800m,°C,degree C,"Mean temperature of wettest quarter approximates mean temperatures that prevail during the wettest season. It is calculated by identifying the three consecutive months with the highest cumulative precipation total; The maximum and minimum temperature for each of the 3 selected months is averaged, and the monthly averages are averaged.",bio_08_1981_2010_800m,1,http://www.worldclim.org/bioclim (average of values from 1981-2010),Y:\Climate\PRISM\OSU_Normals_1981_2010_800m\BioClim_1981_2010\bio_08_1981_2010_800m.tif
Mean Temperature Of Driest Quarter (Bio9) (degree C),mean temperature of driest quarter (BIO9),Mean Temperature Of Driest Quarter (Bio9),800m,°C,degree C,"Mean temperature of driest quarter approximates mean temperatures that prevail during the driest season. It is calculated by identifying the three consecutive months with the lowest cumulative precipation total; The maximum and minimum temperature for each of the 3 selected months is averaged, and the monthly averages are averaged.",bio_09_1981_2010_800m,1,http://www.worldclim.org/bioclim (average of values from 1981-2010),Y:\Climate\PRISM\OSU_Normals_1981_2010_800m\BioClim_1981_2010\bio_09_1981_2010_800m.tif
